,yearday,lat,lon,pressure,CT,SA,oxygen,sigma0,log_buoyancy,spice,o2sat,ydcos,ydsin,nitrate,wmoid,profid,dist_maxb
0,-603.8539467550281,-54.2,30.351,17.54,1.855033327554685,34.127808135891044,326.22037,27.156728899069098,-17.80954046791066,-0.5882387537814094,334.4900318202739,-0.5652265542409662,0.8249357201509001,27.30401,5904469.0,5904469085,94.469995
1,-603.8539467550281,-54.2,30.351,22.119999,1.854043639741741,34.12780329120082,326.00485,27.15679977091554,-15.948689018214893,-0.5883258412674993,334.4983686015607,-0.5652265542409662,0.8249357201509001,27.261232,5904469.0,5904469085,89.889996
2,-603.8539467550281,-54.2,30.351,31.47,1.8543438380444996,34.12782206079377,325.9728,27.156792060400903,-17.868095769269882,-0.5882872937859209,334.49585156183986,-0.5652265542409662,0.8249357201509001,27.312778,5904469.0,5904469085,80.539995
3,-603.8539467550281,-54.2,30.351,33.329998,1.8542515124815735,34.127827088202054,325.4346,27.156803037778214,-16.507310810536936,-0.588291574854611,334.4966280570536,-0.5652265542409662,0.8249357201509001,27.34412,5904469.0,5904469085,78.679997
4,-603.8539467550281,-54.2,30.351,45.66,1.853641457877742,34.12738891448949,325.75323,27.156499942052733,-14.54772966257568,-0.5886504585641469,334.5030792138545,-0.5652265542409662,0.8249357201509001,27.111767,5904469.0,5904469085,66.349995
5,-603.8539467550281,-54.2,30.351,57.21,1.8540673905739729,34.12702716094909,325.59158,27.15617952231014,-14.895292288642432,-0.5888681520744,334.5006820885441,-0.5652265542409662,0.8249357201509001,27.199718,5904469.0,5904469085,54.799995
6,-603.8539467550281,-54.2,30.351,62.19,1.8528112950750757,34.128028079490456,325.74713,27.15707193127469,-15.247162619073208,-0.5882723832243378,334.5087341816754,-0.5652265542409662,0.8249357201509001,27.178394,5904469.0,5904469085,49.819995000000006
7,-603.8539467550281,-54.2,30.351,72.63,1.853274127087753,34.127009418194845,324.98862,27.15622527350251,-14.20001928241505,-0.5889476637136845,334.50771016399557,-0.5652265542409662,0.8249357201509001,27.258326,5904469.0,5904469085,39.37999500000001
8,-603.8539467550281,-54.2,30.351,78.689995,1.8529711010228689,34.128172980221954,324.80786,27.15717533129191,-14.18882614732905,-0.5881572513240085,334.5073811680369,-0.5652265542409662,0.8249357201509001,27.08419,5904469.0,5904469085,33.32000000000001
9,-603.8539467550281,-54.2,30.351,85.18,1.852910240388201,34.127979102613445,325.1057,27.15702543472048,-16.16706715886235,-0.588298366920417,334.5086293444259,-0.5652265542409662,0.8249357201509001,27.127848,5904469.0,5904469085,26.829994999999997
10,-603.8539467550281,-54.2,30.351,97.409996,1.8540399869905708,34.1274391464471,323.64972,27.156509879849636,-13.981983191972589,-0.5885815337056801,334.500967149781,-0.5652265542409662,0.8249357201509001,27.164358,5904469.0,5904469085,14.599998999999997
11,-603.8539467550281,-54.2,30.351,102.32,1.8297945909739304,34.12835618792304,317.70706,27.15906755683727,-10.8189620715503,-0.589984481521465,334.70285220460215,-0.5652265542409662,0.8249357201509001,26.999832,5904469.0,5904469085,9.68999500000001
12,-603.8539467550281,-54.2,30.351,112.009995,1.367349462641057,34.16195249169451,302.2646,27.21929471063572,-9.460338041444846,-0.6039530559352648,338.54968012182184,-0.5652265542409662,0.8249357201509001,28.182438,5904469.0,5904469085,0.0
13,-603.8539467550281,-54.2,30.351,122.43,0.651229956078099,34.21712530803681,289.29184,27.30980236585401,-9.560546158389196,-0.617677613373692,344.6563628818718,-0.5652265542409662,0.8249357201509001,30.489937,5904469.0,5904469085,-10.420005000000003
14,-603.8539467550281,-54.2,30.351,131.65,0.359205818275168,34.25643014266055,281.5812,27.358315474504707,-10.075647450236255,-0.6095411194003599,347.1575958598804,-0.5652265542409662,0.8249357201509001,31.303947,5904469.0,5904469085,-19.640005
15,-603.8539467550281,-54.2,30.351,141.95,0.2801978909807251,34.29516294653719,272.11557,27.393786266308553,-10.631342182479647,-0.5875857565442865,347.7633669289325,-0.5652265542409662,0.8249357201509001,32.40405,5904469.0,5904469085,-29.940004999999985
16,-603.8539467550281,-54.2,30.351,152.01,0.333706691645106,34.32419489157719,263.36456,27.414068518134172,-10.621500033444503,-0.5639936492292507,347.2026039565171,-0.5652265542409662,0.8249357201509001,32.866543,5904469.0,5904469085,-40.00000499999999
17,-603.8539467550281,-54.2,30.351,160.69,0.3541303278086015,34.358482352007975,256.19733,27.440397526989955,-10.419752535637713,-0.5388188639770223,346.92582011920985,-0.5652265542409662,0.8249357201509001,33.163475,5904469.0,5904469085,-48.680004999999994
18,-603.8539467550281,-54.2,30.351,172.02,0.4939355323487475,34.41392065820479,241.13214,27.476752639610368,-10.498951716228598,-0.4910862105707176,345.5240499894429,-0.5652265542409662,0.8249357201509001,33.827503,5904469.0,5904469085,-60.01000500000001
19,-603.8539467550281,-54.2,30.351,182.31,0.6619853133674615,34.45806651219517,231.4302,27.50203912890106,-11.144773761391871,-0.4489453323536941,343.91186611150863,-0.5652265542409662,0.8249357201509001,34.33508,5904469.0,5904469085,-70.300005
20,-603.8539467550281,-54.2,30.351,191.53,0.7384527035976034,34.47521341373277,225.7978,27.511052986981895,-11.701277682673878,-0.4316690447180852,343.1905079156685,-0.5652265542409662,0.8249357201509001,34.38372,5904469.0,5904469085,-79.520005
21,-603.8539467550281,-54.2,30.351,202.13,0.8229992457742201,34.493490017195306,219.08475,27.520374576757376,-11.31571845372671,-0.4129348291772403,342.39773701063245,-0.5652265542409662,0.8249357201509001,34.516018,5904469.0,5904469085,-90.120005
